Station,Address,City,State,Longitude,Latitude
Goodwin University,211 Riverside Dr,East Hartford,CT,-72.640075,41.743194
Greater Hartford Transit District - Spruce Street Lot,1 Union Pl,Hartford,CT,-72.681825,41.769417
Illiano's Restaurant,257 W Town St,Yantic,CT,-72.113144,41.55775
Town of Hamden - Police Department,2900 Dixwell Ave,Hamden,CT,-72.903596,41.384051
Fairfield Senior Center,100 Mona Terrace,Fairfield,CT,-73.26088,41.132277
Butler Street Parking Lot,30 Butler St,Meriden,CT,-72.805988,41.53697
Propark - 777 Main,777 Main St,Hartford,CT,-72.673634,41.766034
JOHN ST CHARGER,234 John St,Bridgeport,CT,-73.1911131,41.1772308
Peck Lane Plaza Shopping Center,550 Boston Post Rd,Orange,CT,-73.017784,41.251801
PRESTIGE VW,42-46 W Broad St,Stamford,CT,-73.5464906,41.0553525
Fairfield Recreation Center,75 Mill Plain Rd,Fairfield,CT,-73.264636,41.142212
Norwalk Community College,188 Richards Ave,Norwalk,CT,-73.452539,41.102848
LAZ Fly Airport Parking,24 Ella Grasso Turnpike,Windsor Locks,CT,-72.672748,41.918347
CT RAIL,60 State St,Meriden,CT,-72.8007814,41.5394301
Killingly Town Hall,172 Main St,Killingly,CT,-71.882323,41.80577
Central Connecticut State University - Welte Hall Parking Lot,105 Ella Grasso Blvd,New Britain,CT,-72.768107,41.693501
The Inn at Woodstock Hill,94 Plaine Hill Rd,Woodstock,CT,-71.97262186,41.94378281
Wilton Public Library,137 Old Ridgefield Rd,Wilton,CT,-73.43124,41.192802
HAJJAR,213 Court St,Middletown,CT,-72.6501809,41.5590961
Goodwin University,403 Main St,East Hartford,CT,-72.639362,41.749499
Stony Creek Brewery - Tesla Destination,5 Indian Neck Ave,Branford,CT,-72.812491,41.274658
Big Y,1021 Main St,Cheshire,CT,-72.907523,41.476271
Connecticut Post Mall - Dave & Buster's,1201 Boston Post Rd,Milford,CT,-73.033472,41.23636
City of Middletown - Mellili Plaza Public Parking,245 DeKoven Dr,Middletown,CT,-72.648056,41.561647
Ford of Branford,301 E Main St,Branford,CT,-72.789844,41.292505
Morton Government Center,239 John St,Bridgeport,CT,-73.191423,41.177007
Town of Groton - Public Library,52 Newtown Rd,Groton,CT,-72.028928,41.347552
Burlington Library,34 Library Ln,Burlington,CT,-72.967327,41.771305
Bruce Bennett Nissan,978 Danbury Rd,Wilton,CT,-73.435546,41.258992
Park 'N Fly - Bradley International Airport,1186 South St,Suffield,CT,-72.663078,41.951328
Van Wilgen's Garden Center,51 Valley Rd,North Branford,CT,-72.766102,41.306955
REYNOLDS SUBARU,272 Hamburg Rd,Lyme,CT,-72.3518219,41.3890729
Tingue Dam Bypass Channel - Wakeley Street Parking Lot,37 Wakeley St,Seymour,CT,-73.075525,41.394315
Mohegan Sun,1 Mohegan Sun Blvd,Uncasville,CT,-72.091456,41.491597
COMCAST,90 Phoenix Ave,Enfield,CT,-72.581611,41.977252
Greenlots - 92143,665 Commerce Dr,Fairfield,CT,-73.23358,41.163146
777 Main Street - Tesla Supercharger,777 Main Street,Hartford,CT,-72.674129,41.766493
BMW RIDGEFIELD,746 Danbury Rd,Ridgefield,CT,-73.4722156,41.3305782
"DoubleTree by Hilton - Norwalk, CT - Tesla Destination",789 Connecticut Ave,Norwalk,CT,-73.453043,41.092037
BIG Y FOODS,140 suit A West Rd,Ellington,CT,-72.46388,41.888958
Wrap N Shine Auto Spa - Tesla Destination,97 Bridgeport Ave #10,Shelton,CT,-73.097982,41.310498
Western Connecticut State University,190 White St,Danbury,CT,-73.442053,41.39936
MINI OF FFD CTY,154 US-1 154 post rd,Darien,CT,-73.4569573,41.089032
